"ID","event_type","event_item","answer","event_comp","item_id","mean_event_item","sd_event_item"
2461,"implau","Eine zufällig ausgewählte Person in Deutschland liest NICHT täglich die Zeitung.",55,"neg",10,32.8072289156626,16.4037903348402
2461,"implau","In einem zufällig ausgewählten Jahr wird es Erdbeben in Deutschland geben.",12,"pos",26,25.7586206896552,34.3467155998064
2461,"implau","Eine zufällig ausgewählte Person in Deutschland isst täglich NICHT mehr als acht Gemüsesorten.",30,"neg",50,9.68888888888889,15.1669830136838
2461,"implau","Eine zufällig ausgewählte Person in Deutschland spielt Banjo.",25,"pos",47,6.35555555555556,11.9851338892577
2461,"implau","Eine zufällig ausgewählte Person in Deutschland spielt professionell Schach.",15,"pos",43,6.62222222222222,16.0316290910541
2461,"implau","In einem zufällig ausgewählten Jahr wird es in Deutschland Tornados geben.",8,"pos",41,11.9555555555556,17.6364235133837
2461,"implau","Ein zufällig ausgewähltes deutsches 12-jähriges Kind lernt in der Schule KEIN Programmieren von Computern.",35,"neg",44,32,29.861802904836
2461,"implau","Ein zufällig ausgewähltes Geschäft in Deutschland wird sonntags NICHT geöffnet sein.",20,"neg",48,11.5555555555556,11.2745803299352
2461,"implau","Eine zufällig ausgewählte Person in Deutschland arbeitet sonntags.",80,"pos",45,23.5555555555556,21.9333241226839
2461,"implau","Ein zufällig ausgewähltes Gebäude in Deutschland hat mehr als 20 Stockwerke.",7,"pos",49,10.4444444444444,16.4103010270372
2461,"implau","Ein zufällig ausgewählter Pendler fährt NICHT mit dem Motorrad zur Arbeit.",30,"neg",46,14.2888888888889,17.1816792255618
2461,"implau","In einem zufällig ausgewählten Jahr wird es an Heiligabend in Berlin NICHT schneien.",20,"neg",42,30.2222222222222,18.7578939611723
2461,"implau","Ein zufällig ausgewähltes Gebäude in Deutschland hat NICHT mehr als 20 Stockwerke.",10,"neg",49,13.6,19.9731638136594
2461,"implau","Eine zufällig ausgewählte Person in Deutschland spielt NICHT professionell Schach.",10,"neg",43,6.28888888888889,15.4237453036517
2461,"implau","Ein zufällig ausgewählter Pendler fährt mit dem Motorrad zur Arbeit.",30,"pos",46,13.4444444444444,16.747531101025
2461,"implau","Eine zufällig ausgewählte Person in Deutschland isst täglich mehr als acht Gemüsesorten.",20,"pos",50,7.46666666666667,7.73892170078681
2461,"implau","In einem zufälligen Jahr wird es in Deutschland KEINE Tornados geben.",0,"neg",41,13.5777777777778,20.7676418857546
2461,"implau","Eine zufällig ausgewählte Person in Deutschland spielt KEIN Banjo.",20,"neg",47,9.97777777777778,19.8454126699448
2461,"implau","Ein zufällig ausgewähltes deutsches 12-jähriges Kind lernt in der Schule das Programmieren von Computern.",20,"pos",44,30.6666666666667,27.8796113185376
2461,"implau","Eine zufällig ausgewählte Person in Deutschland arbeitet NICHT sonntags.",80,"neg",45,19.9555555555556,20.1877050291368
2461,"implau","In einem zufällig ausgewählten Jahr wird es KEINE Erdbeben in Deutschland geben.",10,"neg",26,30.4137931034483,36.7864837805061
2461,"implau","Ein zufällig ausgewähltes Geschäft in Deutschland wird sonntags geöffnet sein.",20,"pos",48,13.3111111111111,11.5990246890579
2461,"implau","Eine zufällig ausgewählte Person in Deutschland liest täglich die Zeitung.",30,"pos",10,38.1204819277108,22.0002203926663
2461,"implau","In einem zufällig ausgewählten Jahr wird es an Heiligabend in Berlin schneien.",20,"pos",42,32.2,23.3905575354283
2458,"implau","In einem zufällig ausgewählten Jahr wird es KEINE Erdbeben in Deutschland geben.",5,"neg",26,30.4137931034483,36.7864837805061
2458,"implau","In einem zufällig ausgewählten Jahr wird die Höchsttemperatur in Deutschland 40°C oder mehr erreichen.",65,"pos",17,36.3571428571429,32.8966018176624
2458,"implau","Eine zufällig ausgewählte Person in Deutschland wird beim durch eine Stadt laufen KEINE Bibel mit sich tragen.",4,"neg",25,2.66666666666667,3.35440494280658
2458,"implau","Eine zufällig ausgewählte Person in Deutschland liest im Alltag regelmäßig gedruckte Zeitungen.",7,"pos",28,28.8571428571429,20.8801124057476
2458,"implau","Ein zufällig ausgewählter Haushalt in Deutschland besitzt ein Hallenbad.",0,"pos",20,8.11904761904762,21.9069009963977
2458,"implau","Ein zufällig ausgewähltes deutsches 10-jähriges Kind lernt in der Schule das Programmieren von Computern.",40,"pos",19,19.0714285714286,22.66553508824
2458,"implau","Eine zufällig ausgewählte Person in Deutschland hat NICHT mehr als vier Geschwister.",26,"neg",24,15.5714285714286,22.365198201499
2458,"implau","In einem zufällig ausgewählten Jahr wird es in Deutschland tödliche Tornados geben.",7,"pos",16,9.30952380952381,17.7165873706082
2458,"implau","In einem zufällig ausgewählten Supermarkt in Deutschland wird man KEINE Berühmtheit treffen.",77,"neg",22,5.78571428571429,13.3572593111993
2458,"implau","Eine zufällig ausgewählte Person in Deutschland ist NICHT in Berlin geboren.",10,"neg",27,9.11904761904762,6.6008217557616
2458,"implau","Eine zufällig ausgewählte Person in Deutschland hat letztes Jahr KEIN Geld an eine Wohltätigkeitsorganisation gespendet.",26,"neg",14,30.7142857142857,20.7544126536817
2458,"implau","Eine zufällig ausgewählte Person in Deutschland spielt KEINE Harfe.",10,"neg",21,8.54761904761905,19.9562966173738
2458,"implau","An einem zufällig ausgewählten Tag wird die Sonnenscheindauer für ganz Deutschland über 12 Stunden liegen.",40,"pos",18,24.9761904761905,21.0799732670239
2458,"implau","In einem zufällig ausgewählten Jahr wird der Rhein in Deutschland im Winter zugefroren sein.",82,"pos",15,18.4047619047619,24.9878600024673
2458,"implau","Ein zufällig ausgewähltes Gebäude in Deutschland hat NICHT mehr als 25 Stockwerke.",5,"neg",23,12.9047619047619,21.2726889189958
2458,"implau","Eine zufällig ausgewählte Person in Deutschland liest im Alltag NICHT regelmäßig gedruckte Zeitungen.",22,"neg",28,27.5952380952381,16.862513662414
2458,"implau","In einem zufällig ausgewählten Jahr wird es in Deutschland KEINE tödlichen Tornados geben.",10,"neg",16,11.0714285714286,18.0492454502686
2458,"implau","Ein zufällig ausgewähltes Gebäude in Deutschland hat mehr als 25 Stockwerke.",7,"pos",23,8.16666666666667,11.0429685534074
2458,"implau","In einem zufällig ausgewählten Jahr wird die Höchsttemperatur in Deutschland NICHT 40°C oder mehr erreichen.",65,"neg",17,39.8809523809524,34.734675428448
2458,"implau","Eine zufällig ausgewählte Person in Deutschland ist in Berlin geboren.",9,"pos",27,8.78571428571429,6.56128970920227
2458,"implau","In einem zufällig ausgewählten Jahr wird es Erdbeben in Deutschland geben.",17,"pos",26,25.7586206896552,34.3467155998064
2458,"implau","Eine zufällig ausgewählte Person in Deutschland spielt Harfe.",5,"pos",21,4.26190476190476,6.80050042566641
2458,"implau","Ein zufällig ausgewählter Haushalt in Deutschland besitzt KEIN Hallenbad.",96,"neg",20,7.61904761904762,20.2423757173066
2458,"implau","In einem zufällig ausgewählten Jahr wird der Rhein in Deutschland im Winter NICHT zugefroren sein.",83,"neg",15,22.6190476190476,27.4448025920164
2458,"implau","Eine zufällig ausgewählte Person in Deutschland hat letztes Jahr Geld an eine Wohltätigkeitsorganisation gespendet.",8,"pos",14,32.2142857142857,23.2227135599419
2458,"implau","An einem zufällig ausgewählten Tag wird die Sonnenscheindauer für ganz Deutschland NICHT über 12 Stunden liegen.",45,"neg",18,37.0476190476191,28.7952844894254
2458,"implau","Ein zufällig ausgewähltes deutsches 10-jähriges Kind lernt in der Schule KEIN Programmieren von Computern.",77,"neg",19,24.6190476190476,27.2897303840969
2458,"implau","In einem zufällig ausgewählten Supermarkt in Deutschland wird man eine Berühmtheit treffen.",77,"pos",22,6.04761904761905,14.0711647392683
2458,"implau","Eine zufällig ausgewählte Person in Deutschland hat mehr als vier Geschwister.",27,"pos",24,8.04761904761905,6.90688020692404
2458,"implau","Eine zufällig ausgewählte Person in Deutschland wird beim durch eine Stadt laufen eine Bibel mit sich tragen.",3,"pos",25,2.61904761904762,2.88775700748219
2457,"implau","Eine zufällig ausgewählte Person in Deutschland liest NICHT täglich Zeitschriften.",35,"neg",11,30.7894736842105,20.388335158279
2457,"implau","Ein zufällig ausgewählter deutscher Haushalt besitzt KEINE Sauna.",13,"neg",5,7.89473684210526,8.58279068105603
2457,"implau","Eine zufällig ausgewählte Person in Deutschland hat NICHT mehr als fünf Geschwister.",5,"neg",7,6.94736842105263,5.69469819061722
2457,"implau","Eine zufällig ausgewählte Person in Deutschland wohnt  NICHT in Mecklenburg-Vorpommern.",5,"neg",8,13.5263157894737,15.7063196819508
2457,"implau","Ein zufällig ausgewähltes deutsches Grundschulkind hat ein bisschen Erfahrung mit dem Programmieren von Computern.",3,"pos",4,8,12.8146875192576
2457,"implau","Eine zufällig ausgewählte Person in Deutschland liest täglich die Zeitung.",40,"pos",10,38.1204819277108,22.0002203926663
2457,"implau","Eine zufällig ausgewählte Person in Deutschland kann in mehr als drei Sprachen sprechen.",20,"pos",3,15.3684210526316,12.9477558373383
2457,"implau","An einem zufällig ausgewählten Tag im Jahr wird die Sonnenscheindauer für ganz Deutschland NICHT bei über 7 Stunden liegen.",10,"neg",13,34.7368421052632,24.5331372268328
2457,"implau","An einem zufällig ausgewählten Tag wird die Sonnenscheindauer für ganz Deutschland  unter 2 Stunden liegen.",30,"pos",2,23.9736842105263,23.8355705595142
2457,"implau","Eine zufällig ausgewählte Person in Deutschland spielt NICHT täglich Volleyball.",3,"neg",12,6.44736842105263,7.92088368132179
2457,"implau","Eine zufällig ausgewählte Person in Deutschland geht mehr als drei Stunden täglich.",40,"pos",9,18.0526315789474,14.8995689551673
2457,"implau","Ein zufällig ausgewähltes Haus in Deutschland hat mehr als 5 Stockwerke.",10,"pos",6,16.9473684210526,13.732871136233
2457,"implau","In einem zufällig ausgewählten Jahr wird es in Deutschland im Mai NICHT schneien.",5,"neg",1,18.6578947368421,18.4921843473011
2457,"implau","Ein zufällig ausgewähltes Haus in Deutschland hat NICHT mehr als 5 Stockwerke.",10,"neg",6,19.2894736842105,14.9628511062905
2457,"implau","Eine zufällig ausgewählte Person in Deutschland wohnt in Mecklenburg-Vorpommern.",5,"pos",8,9.92105263157895,8.30298409055237
2457,"implau","An einem zufällig ausgewählten Tag im Jahr wird die Sonnenscheindauer in ganz Deutschland bei über 7 Stunden liegen.",10,"pos",13,39.5,26.6455716111793
2457,"implau","Eine zufällig ausgewählte Person in Deutschland spielt täglich Volleyball.",5,"pos",12,6.10526315789474,6.97404250401409
2457,"implau","Ein zufällig ausgewählter deutscher Haushalt besitzt eine Sauna.",5,"pos",5,10.1578947368421,15.693907090728
